empresa,modelo,cv_f1,threshold,oof_f1,test_accuracy,test_f1_weighted,test_f1_alta,test_auc
SOJA3,Regressao Logistica,0.5955,0.3418,0.6693,0.5507,0.4629,0.6673,0.6567
SLCE3,Regressao Logistica,0.6595,0.351,0.7068,0.5834,0.4905,0.7097,0.665
AGRO3,Regressao Logistica,0.6719,0.3872,0.7236,0.5798,0.4629,0.7202,0.6083
SOJA3,Random Forest,0.7839,0.4221,0.7985,0.7542,0.7452,0.7789,0.8514
SLCE3,Random Forest,0.8023,0.4394,0.8168,0.7777,0.7682,0.8137,0.871
AGRO3,Random Forest,0.8041,0.4513,0.8172,0.7916,0.7847,0.828,0.8637
SOJA3,XGBoost,0.7736,0.3354,0.7908,0.7632,0.7543,0.7837,0.8506
SLCE3,XGBoost,0.7965,0.3598,0.8128,0.7692,0.7597,0.8069,0.862
AGRO3,XGBoost,0.8019,0.4279,0.8096,0.7698,0.7538,0.8173,0.8292
SOJA3,Rede Neural (Classificacao),0.6888,0.4681,0.7051,0.5896,0.5195,0.5213,0.6333
SLCE3,Rede Neural (Classificacao),0.728,0.5185,0.733,0.6339,0.5669,0.5624,0.6596
AGRO3,Rede Neural (Classificacao),0.7337,0.5226,0.7411,0.6097,0.5448,0.5402,0.6602
