feature_set,modelo,cv_f1,threshold,oof_f1,test_accuracy,test_f1_weighted,test_f1_alta,test_auc
FS1 Base,Regressao Logistica,0.6341,0.3838,0.6981,0.5694,0.4772,0.6968,0.6405
FS2 Dummy,Regressao Logistica,0.6523,0.386,0.7052,0.5855,0.5007,0.7023,0.6629
FS3 Janelas,Regressao Logistica,0.6362,0.3292,0.6958,0.5623,0.4494,0.6975,0.6304
FS4 Indicadores,Regressao Logistica,0.6466,0.3408,0.7005,0.5679,0.4612,0.6999,0.6395
FS1 Base,Random Forest,0.7909,0.431,0.8046,0.7615,0.7509,0.7983,0.8553
FS2 Dummy,Random Forest,0.7966,0.4329,0.8089,0.7719,0.7641,0.8045,0.8601
FS3 Janelas,Random Forest,0.7814,0.4384,0.8006,0.7631,0.7532,0.7983,0.8465
FS4 Indicadores,Random Forest,0.8182,0.4478,0.8292,0.8015,0.7958,0.8264,0.8863
FS1 Base,XGBoost,0.7837,0.3783,0.7961,0.7569,0.7445,0.7959,0.8349
FS2 Dummy,XGBoost,0.7859,0.3608,0.8007,0.7568,0.7434,0.7984,0.8394
FS3 Janelas,XGBoost,0.7811,0.3734,0.7972,0.7568,0.7414,0.795,0.8358
FS4 Indicadores,XGBoost,0.8119,0.3849,0.8236,0.7992,0.7944,0.8214,0.879
FS1 Base,Rede Neural (Classificacao),0.7126,0.516,0.7204,0.606,0.515,0.3853,0.6444
FS2 Dummy,Rede Neural (Classificacao),0.7188,0.4783,0.7313,0.6241,0.5397,0.7291,0.6613
FS3 Janelas,Rede Neural (Classificacao),0.7065,0.4578,0.7162,0.5954,0.5535,0.5828,0.6523
FS4 Indicadores,Rede Neural (Classificacao),0.7295,0.56,0.7378,0.6188,0.5667,0.468,0.6463
